date,count
2023-01-01,174
2023-01-02,390
2023-01-03,358
2023-01-04,337
2023-01-05,339
2023-01-06,341
2023-01-07,151
2023-01-08,155
2023-01-09,382
2023-01-10,358
2023-01-11,350
2023-01-12,326
2023-01-13,326
2023-01-14,200
2023-01-15,153
2023-01-16,386
2023-01-17,340
2023-01-18,377
2023-01-19,338
2023-01-20,334
2023-01-21,178
2023-01-22,194
2023-01-23,377
2023-01-24,318
2023-01-25,325
2023-01-26,364
2023-01-27,336
2023-01-28,275
2023-01-29,274
2023-01-30,543
2023-01-31,455
2023-02-01,338
2023-02-02,334
2023-02-03,357
2023-02-04,174
2023-02-05,172
2023-02-06,370
2023-02-07,357
2023-02-08,357
2023-02-09,342
2023-02-10,327
2023-02-11,189
2023-02-12,174
2023-02-13,415
2023-02-14,343
2023-02-15,373
2023-02-16,343
2023-02-17,349
2023-02-18,163
2023-02-19,165
2023-02-20,384
2023-02-21,347
2023-02-22,328
2023-02-23,323
2023-02-24,350
2023-02-25,177
2023-02-26,228
2023-02-27,391
2023-02-28,444
2023-03-01,327
2023-03-02,351
2023-03-03,359
2023-03-04,158
2023-03-05,179
2023-03-06,378
2023-03-07,350
2023-03-08,322
2023-03-09,378
2023-03-10,343
2023-03-11,181
2023-03-12,188
2023-03-13,392
2023-03-14,348
2023-03-15,384
2023-03-16,349
2023-03-17,346
2023-03-18,190
2023-03-19,158
2023-03-20,391
2023-03-21,358
2023-03-22,364
2023-03-23,327
2023-03-24,351
2023-03-25,349
2023-03-26,358
2023-03-27,574
2023-03-28,658
2023-03-29,635
2023-03-30,648
2023-03-31,660
2023-04-01,185
2023-04-02,202
2023-04-03,383
2023-04-04,355
2023-04-05,366
2023-04-06,360
2023-04-07,336
2023-04-08,179
2023-04-09,185
2023-04-10,378
2023-04-11,368
2023-04-12,372
2023-04-13,367
2023-04-14,371
2023-04-15,184
2023-04-16,198
2023-04-17,398
2023-04-18,378
2023-04-19,373
2023-04-20,378
2023-04-21,356
2023-04-22,188
2023-04-23,190
2023-04-24,409
2023-04-25,394
2023-04-26,402
2023-04-27,400
2023-04-28,484
2023-04-29,326
2023-04-30,326
2023-05-01,436
2023-05-02,372
2023-05-03,360
2023-05-04,370
2023-05-05,368
2023-05-06,222
2023-05-07,210
2023-05-08,423
2023-05-09,362
2023-05-10,368
2023-05-11,382
2023-05-12,377
2023-05-13,205
2023-05-14,220
2023-05-15,418
2023-05-16,382
2023-05-17,363
2023-05-18,390
2023-05-19,359
2023-05-20,227
2023-05-21,205
2023-05-22,411
2023-05-23,363
2023-05-24,384
2023-05-25,379
2023-05-26,373
2023-05-27,178
2023-05-28,300
2023-05-29,501
2023-05-30,542
2023-05-31,477
2023-06-01,366
2023-06-02,411
2023-06-03,189
2023-06-04,191
2023-06-05,438
2023-06-06,365
2023-06-07,346
2023-06-08,366
2023-06-09,388
2023-06-10,248
2023-06-11,183
2023-06-12,422
2023-06-13,343
2023-06-14,349
2023-06-15,386
2023-06-16,425
2023-06-17,207
2023-06-18,182
2023-06-19,408
2023-06-20,355
2023-06-21,361
2023-06-22,370
2023-06-23,378
2023-06-24,195
2023-06-25,383
2023-06-26,598
2023-06-27,585
2023-06-28,678
2023-06-29,669
2023-06-30,702
2023-07-01,224
2023-07-02,222
2023-07-03,403
2023-07-04,371
2023-07-05,392
2023-07-06,397
2023-07-07,403
2023-07-08,186
2023-07-09,211
2023-07-10,416
2023-07-11,384
2023-07-12,368
2023-07-13,398
2023-07-14,389
2023-07-15,191
2023-07-16,215
2023-07-17,412
2023-07-18,362
2023-07-19,393
2023-07-20,434
2023-07-21,410
2023-07-22,235
2023-07-23,221
2023-07-24,424
2023-07-25,387
2023-07-26,411
2023-07-27,393
2023-07-28,500
2023-07-29,355
2023-07-30,331
2023-07-31,557
2023-08-01,416
2023-08-02,398
2023-08-03,388
2023-08-04,410
2023-08-05,206
2023-08-06,222
2023-08-07,420
2023-08-08,378
2023-08-09,406
2023-08-10,373
2023-08-11,411
2023-08-12,246
2023-08-13,225
2023-08-14,412
2023-08-15,396
2023-08-16,387
2023-08-17,399
2023-08-18,412
2023-08-19,215
2023-08-20,290
2023-08-21,414
2023-08-22,407
2023-08-23,408
2023-08-24,412
2023-08-25,427
2023-08-26,245
2023-08-27,270
2023-08-28,539
2023-08-29,507
2023-08-30,496
2023-08-31,490
2023-09-01,389
2023-09-02,233
2023-09-03,239
2023-09-04,420
2023-09-05,421
2023-09-06,391
2023-09-07,376
2023-09-08,398
2023-09-09,242
2023-09-10,246
2023-09-11,437
2023-09-12,400
2023-09-13,411
2023-09-14,425
2023-09-15,401
2023-09-16,244
2023-09-17,229
2023-09-18,456
2023-09-19,425
2023-09-20,374
2023-09-21,383
2023-09-22,391
2023-09-23,243
2023-09-24,217
2023-09-25,625
2023-09-26,588
2023-09-27,601
2023-09-28,695
2023-09-29,696
2023-09-30,543
2023-10-01,199
2023-10-02,423
2023-10-03,382
2023-10-04,381
2023-10-05,426
2023-10-06,410
2023-10-07,216
2023-10-08,212
2023-10-09,432
2023-10-10,387
2023-10-11,451
2023-10-12,396
2023-10-13,391
2023-10-14,257
2023-10-15,220
2023-10-16,454
2023-10-17,368
2023-10-18,382
2023-10-19,388
2023-10-20,385
2023-10-21,232
2023-10-22,249
2023-10-23,429
2023-10-24,399
2023-10-25,410
2023-10-26,402
2023-10-27,409
2023-10-28,379
2023-10-29,387
2023-10-30,573
2023-10-31,540
2023-11-01,407
2023-11-02,419
2023-11-03,433
2023-11-04,243
2023-11-05,221
2023-11-06,452
2023-11-07,415
2023-11-08,443
2023-11-09,449
2023-11-10,397
2023-11-11,265
2023-11-12,222
2023-11-13,458
2023-11-14,416
2023-11-15,442
2023-11-16,421
2023-11-17,417
2023-11-18,270
2023-11-19,233
2023-11-20,448
2023-11-21,419
2023-11-22,415
2023-11-23,436
2023-11-24,434
2023-11-25,256
2023-11-26,237
2023-11-27,484
2023-11-28,540
2023-11-29,562
2023-11-30,535
2023-12-01,416
2023-12-02,238
2023-12-03,249
2023-12-04,442
2023-12-05,422
2023-12-06,427
2023-12-07,413
2023-12-08,402
2023-12-09,251
2023-12-10,300
2023-12-11,447
2023-12-12,400
2023-12-13,403
2023-12-14,418
2023-12-15,415
2023-12-16,256
2023-12-17,239
2023-12-18,435
2023-12-19,427
2023-12-20,404
2023-12-21,432
2023-12-22,432
2023-12-23,220
2023-12-24,251
2023-12-25,684
2023-12-26,605
2023-12-27,592
2023-12-28,733
2023-12-29,727
2023-12-30,579
2023-12-31,541
2024-01-01,449
2024-01-02,434
2024-01-03,435
2024-01-04,446
2024-01-05,437
2024-01-06,255
2024-01-07,260
2024-01-08,462
2024-01-09,408
2024-01-10,456
2024-01-11,407
2024-01-12,446
2024-01-13,270
2024-01-14,267
2024-01-15,445
2024-01-16,411
2024-01-17,419
2024-01-18,405
2024-01-19,432
2024-01-20,242
2024-01-21,272
2024-01-22,476
2024-01-23,411
2024-01-24,414
2024-01-25,458
2024-01-26,424
2024-01-27,240
2024-01-28,358
2024-01-29,580
2024-01-30,541
2024-01-31,553
2024-02-01,413
2024-02-02,431
2024-02-03,278
2024-02-04,253
2024-02-05,499
2024-02-06,459
2024-02-07,433
2024-02-08,421
2024-02-09,448
2024-02-10,268
2024-02-11,308
2024-02-12,493
2024-02-13,458
2024-02-14,473
2024-02-15,463
2024-02-16,429
2024-02-17,275
2024-02-18,282
2024-02-19,477
2024-02-20,477
2024-02-21,431
2024-02-22,478
2024-02-23,440
2024-02-24,251
2024-02-25,271
2024-02-26,465
2024-02-27,425
2024-02-28,588
2024-02-29,568
2024-03-01,448
2024-03-02,263
2024-03-03,255
2024-03-04,458
2024-03-05,440
2024-03-06,439
2024-03-07,436
2024-03-08,436
2024-03-09,275
2024-03-10,286
2024-03-11,484
2024-03-12,449
2024-03-13,458
2024-03-14,434
2024-03-15,431
2024-03-16,261
2024-03-17,259
2024-03-18,504
2024-03-19,450
2024-03-20,446
2024-03-21,440
2024-03-22,427
2024-03-23,301
2024-03-24,303
2024-03-25,668
2024-03-26,635
2024-03-27,624
2024-03-28,754
2024-03-29,742
2024-03-30,605
2024-03-31,584
2024-04-01,478
2024-04-02,454
2024-04-03,445
2024-04-04,465
2024-04-05,443
2024-04-06,259
2024-04-07,278
2024-04-08,470
2024-04-09,443
2024-04-10,453
2024-04-11,459
2024-04-12,449
2024-04-13,299
2024-04-14,299
2024-04-15,500
2024-04-16,420
2024-04-17,430
2024-04-18,455
2024-04-19,433
2024-04-20,264
2024-04-21,260
2024-04-22,536
2024-04-23,434
2024-04-24,439
2024-04-25,479
2024-04-26,441
2024-04-27,293
2024-04-28,392
2024-04-29,591
2024-04-30,569
2024-05-01,432
2024-05-02,441
2024-05-03,427
2024-05-04,299
2024-05-05,265
2024-05-06,476
2024-05-07,420
2024-05-08,444
2024-05-09,435
2024-05-10,427
2024-05-11,300
2024-05-12,280
2024-05-13,461
2024-05-14,426
2024-05-15,477
2024-05-16,465
2024-05-17,489
2024-05-18,298
2024-05-19,291
2024-05-20,493
2024-05-21,487
2024-05-22,469
2024-05-23,449
2024-05-24,478
2024-05-25,272
2024-05-26,288
2024-05-27,533
2024-05-28,583
2024-05-29,580
2024-05-30,571
2024-05-31,573
2024-06-01,300
2024-06-02,297
2024-06-03,538
2024-06-04,448
2024-06-05,449
2024-06-06,470
2024-06-07,473
2024-06-08,312
2024-06-09,284
2024-06-10,506
2024-06-11,478
2024-06-12,452
2024-06-13,482
2024-06-14,461
2024-06-15,325
2024-06-16,293
2024-06-17,518
2024-06-18,469
2024-06-19,498
2024-06-20,474
2024-06-21,465
2024-06-22,308
2024-06-23,315
2024-06-24,487
2024-06-25,672
2024-06-26,655
2024-06-27,684
2024-06-28,768
2024-06-29,617
2024-06-30,606
2024-07-01,538
2024-07-02,486
2024-07-03,461
2024-07-04,472
2024-07-05,510
2024-07-06,285
2024-07-07,279
2024-07-08,501
